Product Title,Price,Description
ENREGISTREUR VIDÉO RÉSEAU DNR-F5104E-P4 / 8 CANAUX,"519,000 DT","ENREGISTREUR VIDÉO RÉSEAU DNR-F5104E-P4 - Point de vue,NVR - Prise en charge des formats vidéo Utra 265 / H.265 / H.264 - Entrée 4/8 canaux - Caméras IP tierces prises en charge avec la conformité ONVIF: profil S, profil G, profil T - Prise en charge: 1x HDMI, 1x VGA, HDMI jusqu'à une résolution de 4K (3840x2160) - Sortie simultanée HDMI et VGA - Enregistrement de résolution jusqu'à 8MP - 1x disque dur SATA jusqu'à 10 To - Technologie ANR - Prise en charge de la mise à niveau du cloud - Entrée vidéo IP: 4 canaux - Bande passante entrante: 40Mbps - Bande passante sortante: 40Mbps - Protocoles : P2P, UPnP, NTP, DHCP, PPPoE - Garantie 1 an"
Disque Dur Externe ADATA ASD620 USB 3.2 / 2To / Noir,"525,000 DT","2 To - Interface: USB 3.2 Compatible USB 2.0 - Type de Disque: SSD - Vitesse de lecture: 520 Mo/s - Vitesse d'enregistrement: 520 Mo/s - Dimensions: 80 x 80 x 15,2 mm - Couleur: Noir - Garantie: 3 ans"
"Disque Dur Interne 3.5"" Seagate SkyHawk Surveillance 6 To","529,000 DT",6 To - Taille du cache : 256 Mo - Interface : SATA 6Gb/s - Vitesse de transfert soutenu de l'interface de disque dur : 180 MiB/s - Débit de transfert du lecteur : 600 Mo/s (externe) - Nombre maximum : 64 caméras pris en charge - Garantie 3 ans
Serveur NAS 1 baie QNAP TS-133 / Sans Disques,"539,000 DT","Serveur NAS 1 Baie QNAP TS-133 - Sans Disques - Processeur ARM 4 cœurs Cortex-A55 1,8 GHz - RAM 2 Go DDR3 - Mémoire flash 4 Go - Nombre de disques supportés: 1 x 3,5"" SATA 6 Gb/s, 3 Gb/s - Compatibile Avec Disques durs SATA 3,5"", Disques SSD SATA 2,5"" - 1x Port Gigabit Ethernet (RJ45) - 1x USB 2.0 - 1x USB 3.2 - Format Tower - Indicateurs LED: État du système, LAN, disque dur - 1x Ventilateur 50mm, 12VDC - Max Nombre de connexions simultanées (CIFS) avec max Mémoire: 200 - Transcodage 4K (H.264) en temps réel - Compatible avec les technologies de virtualisation légères LXD et Docker - Dimensions: 187.5 × 66.1 × 157.6 mm - Poids: 1.27 kg - Garantie 1 an"
Disque dur externe Seagate ONE TOUCH DESKTOP 6 To / USB 3.0,"549,000 DT","6  To - Interface USB 3.0 - OS Supportés: Mac OS X 10.7 Lion, Mac OS X 10.8 ou supérieur, Microsoft Windows 10, Microsoft Windows 7, Microsoft Windows 8 - Hub USB intégré, authentification du mot de passe - Dimensions 129.9 x 45.3 x 198.5 cm - Poids 1.24 Kg - avec câble USB 3.0 - Garantie 3 ans"
PC Portable Lenovo V15 / AMD 3020e / 4 Go,"599,000 DT","Ecran 15.6"" LED HD - Processeur AMD 3020e, up to 2.6 GHz, 4 Mo de cache - Mémoire 4 Go - Disque 1 To - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth - Lecteur de cartes - HDMI - 2x USB 3.1 - 1x USB 2.0 - Webcam HD - Couleur Gris - Garantie 1 an"
"Disque Dur Interne Toshiba 3.5"" SATA / Série MG08 /  7200 tr/min / 6To","599,000 DT","Disque Dur Toshiba Série MG08-D - Capacité Disque : 6 To - Format de Disque : 3.5 pouces - Interface de disque : SATA 6 Gbit/s - Vitesse de rotation : 7200 tr/min - Serveurs d’entreprise stratégiques et systèmes de stockage aux forts besoins de capacité - Baies de stockage d’entreprise traditionnelles (RAID, à base logicielle) - Systèmes de stockage de forte capacité et fondés sur le Cloud - Systèmes de fichiers répartis, Big Data - systèmes d’archivage et de récupération de données d’entreprise et fondés sur le Cloud - Systèmes de stockage de données de surveillance centralisés - Serveurs et systèmes de stockage industriels - Garantie : 1 an"
"Disque Dur Interne Toshiba 3.5"" SATA / Série MG08 /  7200 tr/min / 8 To","649,000 DT","Disque Dur Toshiba Série MG08-D - Capacité Disque : 8 To - Format de Disque : 3.5 pouces - Interface de disque : SATA 6 Gbit/s - Vitesse de rotation : 7200 tr/min - Serveurs d’entreprise stratégiques et systèmes de stockage aux forts besoins de capacité - Baies de stockage d’entreprise traditionnelles (RAID, à base logicielle) - Systèmes de stockage de forte capacité et fondés sur le Cloud - Systèmes de fichiers répartis, Big Data - systèmes d’archivage et de récupération de données d’entreprise et fondés sur le Cloud - Systèmes de stockage de données de surveillance centralisés - Serveurs et systèmes de stockage industriels - Garantie : 1 an"
Disque Dur SSD interne M.2 (2280) PCIe Gen4 x4 Mushkin VORTEX / 2 To,"649,000 DT",Capacité: 2 To - Facteur de forme: M.2 (2280) - Interface: PCIe Gen4 x4 NVMe 1.4 - Manette: InnoGrit IG5236 - Lecture séquentielle maximale: Jusqu'à 7415 Mo/s - Écriture séquentielle maximale: Jusqu'à 6 800 Mo/s - IOPS en lecture aléatoire maximale de 4K: Jusqu'à 730 000 - IOPS en écriture aléatoire maximale de 4K: Jusqu'à 1 500 000 - MTBF: 1 500 000 heures - TBW: 1 000 To - Prise en charge de l'effacement de sécurité NVMe - Résistance maximale aux chocs: 1500G - Flash NAND 3D haute fiabilité - Poids 7g - Garantie 1 an
"DISQUE DUR INTERNE 3.5"" SEAGATE IRONWOLF / 6 TO","685,000 DT","Disque Dur Interne 3.5"" Seagate IronWolf - Capacité 6 To - Utilisation pour NAS - Format 3.5"" - Interface SATA 6Gb/s (SATA 3) - Vitesse de rotation 5400 RPM - Taille du cache 256 Mo - Technologie d'enregistrement: CMR - NAS comprenant de 1 à 8 baies - RAID de bureau et serveurs - Stockage sur serveur multimédia - Garantie 3 ans"
Kaspersky Small Office Security 8.0   1 an / 10 Postes + 1 Serveur,"705,000 DT","Kaspersky Small Office Security 8.0 - Licence 1 an 10 postes + 1 Serveur - Protège contre les virus, les logiciels espions, le phishing et les sites Web dangereux - Protection contre les attaques de programmes malveillants et à la cybercriminalité dans l'entreprise - Protection performante - Facile à configurer et à utiliser - Protection de la vie privée - Protection bancaire - Protection des enfants - Gestionnaire de mots de passe sécurité - Sauvegarde et chiffrement de vos fichiers - Pour 10 desktop ou 10 appareils mobiles sous Android et 1 serveur de fichier - Durée 1 an"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go,"725,000 DT","‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U, up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi  - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir - Garantie 1 an"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go Avec SACOCHE Offert,"729,000 DT","‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U, up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi  - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
Mini Pc de bureau ASRock Barebone Série DeskMeet X300 / Noir,"739,000 DT","CPU - Prend en charge les processeurs de bureau AMD AM4 Socket Ryzen 2000, 3000, 4000 G-Series, 5000 et 5000 G-Series, jusqu'à 65 W - Jeu de puces AMD X300 - Boîtier Prend en charge le refroidisseur de processeur AMD AM4 (hauteur maximale ≦ 54 mm) - Mémoire: 4x emplacements DIMM DDR4 (max. 128 Go) - Disques durs: 2x ports SATA3 6.0 Gb/s (RAID 0/1) - 1x emplacement Ultra M.2 - 1x PCIe 3.0 x 16 - 1x Slot M.2 (clé E 2230) pour Wi-Fi + Module Blutooth - 1x Prise casque/casque - 1x USB-C 3.2 - 4x USB 3.2 - 4x USB 2.0 - 1x DisplayPort 1.4 - 1x HDMI - 1x D-Sub - 1x Port LAN RJ-45 - Alimentation 500 W (80+ Bronze, crête 550 W) - Système d'exploitation: Microsoft, Windows - Format compact de 8 litres - Couleur Noir - Garantie 1 an"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go / WINDOWS 11 PRO,"785,000 DT","‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U , up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi  - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir - WINDOWS 11 PRO - Garantie 1 an"
Disque Dur Externe USB 3.2 Seagate Firecuda Gaming SSD NVMe / 1 To,"799,000 DT",Capacité 1 To - Interface USB 3.2 2x2 - Interface Interne M.2 - PCI-E NVMe - Matériau Aluminium - Compatible avec: Mac OS X 10.12 ou supérieur | Windows 7 ou supérieur -  Dimensions 52.5 x 10 x 101.4 mm - Poids 100 g - Garantie 1 an
Kit de surveillance MIPVISION DVR AHD 8 canaux 8 Caméras Externes,"819,000 DT","Kit de surveillance MIPVISION DVR AHD 8 canaux - 8x Caméras 2 Mégapixel - Emplacement Disque Dur SATA HDD avec 1 To Max - Audio, alarme - Sorties VGA & HDMI - Surveillance à distance avec Pc & Smartphone - Capteur CMOS 1/4"" AR0141,720P avec ICR,PAL - Portée du voyant infrarouge Jusqu'à 20 mètres - Boîtier en aluminium Weaterproof IP66 - Garantie 1 an"
DISQUE DUR EXTERNE SEAGATE ONE TOUCH DESKTOP 10 TO / USB 3.0,"849,000 DT","Disque dur externe Seagate ONE TOUCH DESKTOP - Capacité 10 To - Interface USB 3.0 - OS Supportés: Mac OS X 10.7 Lion, Mac OS X 10.8 ou supérieur, Microsoft Windows 10, Microsoft Windows 7, Microsoft Windows 8 - Hub USB intégré, authentification du mot de passe - Dimensions 129.9 x 45.3 x 198.5 cm - Poids 1.24 Kg - avec câble USB 3.0 - Garantie 3 ans"
"Disque Dur Interne 3.5"" Seagate IronWolf / 8 To","859,000 DT","Disque Dur Interne 3.5"" Seagate IronWolf - Capacité 8 To - Utilisation pour NAS - Format 3.5"" - Interface SATA 6Gb/s (SATA 3) - Vitesse de rotation 7200 RPM - Taille du cache 256 Mo - Dimensions 101.6 x 26.11 x 146.99 mm - Garantie 3 ans"
Mini Pc de bureau ASRock Barebone Série DeskMeet B660 / Noir,"919,000 DT","CPU Prend en charge les processeurs Intel Core de 13e et 12e génération (LGA1700) - Jeu de puces Intel B660 - Boîtier Prend en charge le refroidisseur de processeur Intel (hauteur maximale ≦ 54 mm) - Mémoire: 4x emplacements DIMM DDR4 (max. 128 Go) - Disques durs: 3x ports SATA3 6 Gb/s - 2 x Socket Hyper M.2 - 1x PCIe 4.0 x 16 - 1x Socket M.2 (clé E), prend en charge le module Wi-Fi/BT de type 2230 et Intel CNVi (Wi-Fi/BT intégré) - 1x Prise casque/casque - 1x USB-C 3.2 - 4x USB 3.2 - 4x USB 2.0 - 1x DisplayPort 1.4 - 1x HDMI - 1x D-Sub - 1x Port LAN RJ-45 - Alimentation 500 W (80+ Bronze, crête 550 W) - Système d'exploitation: Microsoft, Windows - Format compact de 8 litres - Couleur Noir - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 256 Go SSD / Noir,"925,000 DT","Écran 15.6"" Full HD, 120 Hz - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - FreeDos - Couleur Noir - Garantie 1 an"
"Pc de Bureau HP Pro G2 / G5400 / 4 Go / 500 Go Avec Écran HP 20.7"" Full HD 60 Hz","929,000 DT","Écran HP V214a 20.7"" Full HD (1920 x 1080 px), 60 Hz - Processeur Intel Pentium Gold G5400, (jusqu'à 3.70 GHz, 4 Mo de mémoire Cache) - Mémoire 4 Go - Disque Dur 500 Go - Carte graphique Intel UHD Graphics - Graveur DVD - 4x USB 3.1 - 4x USB 2.0 - HDMI - RJ45 - VGA - FreeDos - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 512 Go SSD / Noir,"979,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"989,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
"Disque Dur Interne HDD Seagate SkyHawk AI SATA 3.5"" / 10 To / 7200 RPM","999,000 DT","Capacité: 10 To - Interface: Serial ATA 6Gb/s (SATA) - Format de Disque: 3.5"" - Vitesse de rotation: 7200 RPM - Mémoire cache: 256 Mo - Technologie d'enregistrement: CMR - Type de Disque: HDD (Hard Disk Drive) - Poids: 720 g - Garantie 1 an"
"PC de bureau HP Pro 300 G6 / i3-10100 / 4 Go / 1 To Avec Écran HP 21.5"" Full HD 60 Hz","999,000 DT","Écran HP 22V 21.5 "" Full HD (1920 x 1080 px), 60 Hz - Processeur Intel Core i3-10100, 10e génération, (jusqu'à 4.3 GHz, 6 Mo de mémoire Cache) - Mémoire 4 Go - Disque Dur 1 To - Carte graphique Intel UHD Graphics - Graveur DVD - 4x USB 3.1 - 4x USB 2.0 - HDMI - VGA - DisplayPort - FreeDos - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 512 Go SSD / Noir,"1 009,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an"
Disque Dur Externe WESTERN DIGITAL My Book / 12 To / USB 3.0 / Noir,"1 029,000 DT","Capacité: 12 To - Type de Disque: HDD - Connecteur: USB 3.0 - Format de Disque: 3.5"" - Fente de verrouillage de sécurité (câble de verrouillage vendu séparément) - Authentification du mot de passe - Sauvegarde automatique - Compatible avec Apple Time Machine, formatté avec le système de fichier exFAT - Dimensions: ‎16 x 10 x 18 cm - Couleur Noir - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir,"1 039,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an"
Disque dur externe Seagate ONE TOUCH DESKTOP 12 To / USB 3.0 / USB-C 3.2,"1 039,000 DT","Disque dur externe Seagate ONE TOUCH DESKTOP - Capacité 12 To - Interface USB 3.0, USB-C 3.2 - OS Supportés: Mac OS X 10.7 Lion, Mac OS X 10.8 ou supérieur, Microsoft Windows 10, Microsoft Windows 7, Microsoft Windows 8 - Hub USB intégré, authentification du mot de passe - Dimensions 129.9 x 45.3 x 198.5 cm - Poids 1.24 Kg - avec câble USB 3.0 - Garantie 3 ans"
Pc Portable HP 15-fd0051nk / i3-N305 / 8 Go / 512 Go SSD / Gold,"1 049,000 DT","Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - FreeDOS - Couleur Gold - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 512 Go SSD /Windows 11 pro /Noir,"1 049,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Windows 11 pro - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"1 049,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
"Disque Dur Interne Toshiba 3.5"" SATA / Série MG08 /  7200 tr/min / 16To","1 055,000 DT","Disque Dur Toshiba Série MG08 - Capacité Disque : 16 To - Format de Disque : 3.5 pouces - Interface de disque : SATA 6 Gbit/s - Vitesse de rotation : 7200 tr/min - Conception à 9 disques scellée à l'hélium, leader du secteur, pour une densité de stockage supérieure - 550 To totaux transférés par an - Capteurs de vibrations rotationnelles (RV) - Technologie sectorielle de format avancé 512e ou 4Kn - Garantie : 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"1 059,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
Pc De Bureau Lenovo ThinkCentre neo 50q Gen 4 / i3-1215U / 8 Go / 512 Go SSD,"1 069,000 DT","Processeur Intel Core i3-1215U, (jusqu’à 4.4 GHz, 10 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD intégrés - Montage: 1x support VESA - Wi-Fi 6 - Bluetooth 5.1 - 1x Ethernet (RJ-45) - 1x USB-C 3.2 - 3x USB 3.2 - 2x USB 2.0 - 1x prise combo casque/microphone (3.5 mm) - 1x HDMI 2.1 TMDS - 1x DisplayPort 1.4 - FreeDos - Avec Clavier USB Calliope, noir, français + Souris Calliope USB, noire - Couleur Noir - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 24 Go / 512 Go SSD / Noir,"1 085,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 24 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an"
"Disque Dur Interne 3.5"" Seagate SkyHawk Surveillance / 10 To","1 095,000 DT","10 To - Interface SATA 6Gb/s (SATA 3) - Capteur de rotation vibratoire, micro-logiciel Image/Perfect - Taille du cache 256 Mo - Utilisation pour NAS - Dimensions 101.85 x 26.11 x 146.99 mm - Poids 650 g - Garantie 3 ans"
Serveur de stockage ASUSTOR Drivestor 4 AS1104T,"1 099,000 DT","Processeur: Realtek RTD1296, Quad-Core, 1.4GHz - Mémoire 1Go DDR4 - Mémoire flash: 8Go eMMC - Disque dur: 4 x SATA3 6Go/s; 3.5"" HDD - 2x USB 3.2 Gen 1 - Max baies de disque: 12 X LFFunités d'extension USB - Connexion Wake on WAN Wake on LAN - Système supportés windows10, 11 - Carte Réseau 1x 2.5 Gigabit Ethernet (2.5G/1G/100M) - Raid: RAID 0, RAID 1, RAID 5, RAID 6, RAID 10 Support de Migration de niveau RAID en ligne - Alimentation 90W - Format TOUR - Garantie 3 Ans"
Kit de surveillance MIPVISION DVR AHD 8 canaux 8 Caméras Externes / 2 MP,"1 100,000 DT","Kit de surveillance MIPVISION DVR AHD 8 canaux - 8x Caméras 2 Mégapixel - Emplacement Disque Dur SATA HDD avec 1 To Max - Audio, alarme - Sorties VGA & HDMI - Surveillance à distance avec Pc & Smartphone - Capteur CMOS 1/4"" AR0141,720P avec ICR,PAL - Portée du voyant infrarouge Jusqu'à 20 mètres - Boîtier en aluminium Weaterproof IP66 - Garantie 1 an"
Pc Portable HP 15-fd0051nk / i3-N305 / 8 Go / 512 Go SSD / Gold / Windows 11 Pro,"1 109,000 DT","Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - Windows 11 Pro - Couleur Gold - Garantie 1 an"
Pc Portable HP 15-fd0051nk / i3-N305 / 16 Go / 512 Go SSD / Gold,"1 109,000 DT","Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - FreeDOS - Couleur Gold - Garantie 1 an"
Pc De Bureau Lenovo ThinkCentre neo 50q Gen 4 / i3-1215U / 16 Go / 512 Go SSD,"1 109,000 DT","Processeur Intel Core i3-1215U, (jusqu’à 4.4 GHz, 10 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD intégrés - Montage: 1x support VESA - Wi-Fi 6 - Bluetooth 5.1 - 1x Ethernet (RJ-45) - 1x USB-C 3.2 - 3x USB 3.2 - 2x USB 2.0 - 1x prise combo casque/microphone (3.5 mm) - 1x HDMI 2.1 TMDS - 1x DisplayPort 1.4 - FreeDos - Avec Clavier USB Calliope, noir, français + Souris Calliope USB, noire - Couleur Noir - Garantie 1 an"
Pc Portable DELL Vostro 3520 / i3-1215U / 32 Go / 512 Go SSD / Noir,"1 139,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 32 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an"
"Disque Dur Interne 3.5"" POUR VIDEO SURVEILLANCE Western Digital Purple 10 To","1 145,000 DT",10 To - Vitesse 5400 tr/min - 256 Mo de mémoire cache - SATA 6 Gb/s - Garantie 5 ans
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 512 Go SSD /  Windows 11 pro / Noir,"1 149,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir -  Windows 11 pro - Garantie 1 an"
Pc De Bureau Lenovo ThinkCentre neo 50q Gen 4 / i3-1215U / 24 Go / 512 Go SSD,"1 149,000 DT","Processeur Intel Core i3-1215U, (jusqu’à 4.4 GHz, 10 Mo de mémoire cache) - Mémoire 24 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD intégrés - Montage: 1x support VESA - Wi-Fi 6 - Bluetooth 5.1 - 1x Ethernet (RJ-45) - 1x USB-C 3.2 - 3x USB 3.2 - 2x USB 2.0 - 1x prise combo casque/microphone (3.5 mm) - 1x HDMI 2.1 TMDS - 1x DisplayPort 1.4 - FreeDos - Avec Clavier USB Calliope, noir, français + Souris Calliope USB, noire - Couleur Noir - Garantie 1 an"
PC PORTABLE LENOVO V15 / I3-1215U / 24 Go / 512 Go SSD +  Sacoche  Offerte,"1 189,000 DT","Écran 15.6"" FULL HD - Processeur : Intel Core i3-1215U (up to 4,40 GHz Turbo max, 10 Mo de mémoire cache, Hexa-Core) - Mémoire : 24G - Disque Dur : 512 Go SSD - Carte Graphique : Intel UHD Graphics - Wi-Fi - Bluetooth - 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1 - 1x HDMI 1.4b - 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - 1x connecteur d'alimentation - Couleur: Noir - Garantie: 2 ans"
"Disque Dur Interne 3.5"" Seagate IronWolf / 12 To","1 189,000 DT","Disque Dur Interne 3.5"" Seagate IronWolf - Capacité 12 To - Utilisation pour NAS - Format 3.5"" - Interface SATA 6Gb/s (SATA 3) - Vitesse de rotation 7200 RPM - Taille du cache 256 Mo - Dimensions 101.85 x 26.11 x 146.99 mm - Garantie 3 ans"
