Product Title,Price,Description
Disque Dur SSD interne M.2 (2280) PCIe Gen3 x4 Mushkin TEMPEST / 256 Go,"81,000 DT","Capacité: 256 Go - Facteur de forme: M.2 (2280) - Composants de mémoire: 3D NAND - Interface: PCIe Gen3 x4 NVMe 1.4 - Manette: InnoGrit IG5216 - Lecture séquentielle maximale: Jusqu'à 3 100 Mo/s - Écriture séquentielle maximale: Jusqu'à 1 400 Mo/s - Trouver du temps: 0,1ms - Nombre total d'octets écrits (TBW): 125 To - MTBF: 1 500 000 heures -Prise en charge de l'effacement de sécurité NVMe - Flash NAND 3D haute fiabilité - Résistance maximale aux chocs: 1500G - Poids 7 grammes - Garantie 1 an"
DISQUE DUR INTERNE ADATA LEGEND 710 256GO SSD PCIE GEN3 X4 M.2 2280,"85,000 DT","Capacité de stockage : 256Go - Facteur de forme : M.2 2280 - Interface : PCIe Gen3 x4 - Vitesse en lecture : 2400Mo/s - Vitesse en écriture : 1800 Mo/s - Résistance au choc : 500G/0,5ms - Le dissipateur thermique garde les choses 15 % plus fraîches - Prend en charge le tampon de mémoire hôte (HMB) - Garantie : 3 ans"
Disque Dur Interne HIKVISION E100N / 256 Go SSD M2,"85,000 DT","256 Go - Format: M.2 - Interface :SATA III 6 Gb/s, SATA II 3 Gb/s - Mémoire Flash: 3D TLC - Vitesse Max en Lecture /Max en écriture 545 MB/S-480 MB/S - MTBF: 1500000 Heures - Dimensions: 22 x 80 - Poids: ≤ 5.4g - Garantie 1 an"
Station d'accueil pour disques durs Advance Dual Dock BX-3003U32,"89,000 DT","Station d'accueil avec deux dock pour disque dur de 2.5"" ou 3.5"" - Interface disque SATA 6 Gbps compatible SATA I / SATA II - Capacité maximale jusqu'à 4 To - Connecteur USB 3.0 compatible USB 2.0 / USB 1.1 - Fonction Clone sauvegarde de disque dur sans PC - Indicateur LED power on/off et état de fonctionnement du disque dur et progression du clonage - Fonctions Plug & Play et Hot Swap (branchement à chaud) - Dimensions: 127 x 116 x 83.5 mm - Couleur Noir - Garantie 1 an"
Antivirus Kaspersky plus / 3 poste / 1 an,"89,000 DT",Antivirus Kaspersky plus - 3 Poste - 1 an - Sécurité avancée - Anti-phishing et pare-feu inclus - Outils de performance et surveillance du disque dur - VPN illimité et gestionnaire de mots de passe ( sécurité et confidentialité de votre vie en ligne ) - Navigation privée sans interruption - Protection des données personnelles et de paiement - Optimisation des performances - Élimination des menaces existantes - Protection antipiratage
Disque Dur Interne SSD TwinMOS NGFFFGBM2280 SATA III M.2 / 512 Go,"95,000 DT",Capacité: 512 Go - Interface SATA3 (6 Gb/s) - Facteur de forme M.2 2280 - Vitesse séquentielle maximale 580 Mo/s en lecture / 550 Mo/s en écriture - Mémoire Flash 3D NAND TLC - DC 3.3 V Faible consommation d'énergie - Fonctionnement silencieux - Température de fonctionnement : 0-70°C - MTBF : 1 500 000 heures - Dimensions : 80 x 22 x 3.5 mm - Poids : 10g - Garantie 1 an
"Disque Dur Interne SSD Patriot P220 2.5"" SATA III / 512 Go","97,000 DT","512 Go - Type de disque: SSD - Format de Disque: 2.5 "" - Interface SATA III - Vitesse de lecture: 550 Mo/s - Vitesse d'écriture: 500 Mo/s - Dimensions: 10 x6.99 x 0.7cm - Garantie 3 ans"
"Disque Dur Interne SSD TeamGroup GX2 2.5"" SATA / 512 Go","99,000 DT","Capacité 512 Go  - Interface SATA Rev. 3.0 (6Gb/s) - Vitesse: Jusqu'à 530 Mbps (en Lecture), jusqu'à 430 Mbps (en écriture) - Dimensions 100 x 69.9 x 7 mm - Garantie 1 an"
Antivirus Kaspersky plus / 5 poste / 1 an,"99,000 DT",Antivirus Kaspersky plus - 5 Poste - 1 an - Sécurité avancée - Anti-phishing et pare-feu inclus - Outils de performance et surveillance du disque dur - VPN illimité et gestionnaire de mots de passe ( sécurité et confidentialité de votre vie en ligne ) - Navigation privée sans interruption - Protection des données personnelles et de paiement - Optimisation des performances - Élimination des menaces existantes - Protection antipiratage
Boitier Gamer Spirit of Gamer Deathmatch 3 RGB Edition / MATX / ITX / Noir,"103,000 DT","BoîtierGamer Spirit of Gamer Deathmatch 3 RGB Edition / MATX /ITX - Format du boitier: Mini tour - Format d'alimentation (PSU): ATX / EPS - Format de carte mère: Micro ATX / Mini ITX - Hauteur ventilateur CPU max: 130 mm - Longueur carte graphique max: 270 mm - Nombre de slots PCI: 4 - Contrôlleur RGB - 1x Jack 3.5 mm Audio - 1x Jack 3.5 mm Micro - Indicateurs LED - 1x USB 3.0 - 2x USB 2.0 - 2x Baies HDD 3.5"" - 1x Baies HDD 2.5""- Ventilateurs préinstallés Façade: 2 x 120 mm ARGB - Dimensions: 35.8 x 17.5 x 33.3 cm - Matériaux: Acrylique / Acier / ABS (Plastique) - Poids: 2.4 Kg - Couleur Noir - Garantie 1 an"
Disque Dur Interne SSD M.2 TeamGroup MP33 Pro / 512 Go,"119,000 DT","512 Go - Interface PCIe 3.0 x4 avec NVMe 1.3 - Vitesses: Jusqu'à 2100 Mbps (en Lecture), jusqu'à 1700 Mbps (en Ecriture) - Dimensions 80 x 22 x 2.3 mm - Garantie 3 ans"
Disque Dur Interne SSD Patriot P320 M.2 NVMe Gen3 x4 512 Go,"124,000 DT","Capacité: 512 Go SSD - contrôleur PCIe Gen3 - Interface: M.2 PCIe Gen3 x 4, NVMe 1.3 - Technologie d'étranglement thermique - Température de fonctionnement : 0 ~ 70°C - Lecture séquentielle (CDM): jusqu'à 3 000 Mo/s - Écriture séquentielle (CDM): jusqu'à 2 200 Mo/s - Terrabytes écrits (TBW): jusqu'à 240 To"
Disque dur externe SSD Adata SD600Q / 240 Go / Bleu,"125,000 DT","Capacité 240 Go - Interface USB 3.2 Gén1 - Vitesses Jusqu'à 440 MB/s en Lecture, Jusqu'à 430 MB/s en Ecriture - Couleur Bleu - Dimensions 80 x 80 x 15.2 mm - Garantie 3 ans"
Disque dur externe HIKSEMI T200N / 256 Go SSD / Noir,"129,000 DT","Disque Dur Externe HIKSEMI T200N - Capacité de Stockage: 256 Go - Type de disque dur: SSD - Vitesse de transmission maximale 450 Mo/s - Interface USB 3.1 Type C - Matériau du boîtier: Alliage Aluminium - Compatible avec les PC Windows, MAC OS, ordinateurs portables et ordinateurs de bureau - Transmission à grande vitesse - Solide et Métal - Mince et portatif - Taille 113 x 41 x 10 mm - Poids : 75 g - Couleur: Noir - Garantie: 1 an"
Anti virus Kaspersky Premium / 5 poste / 1 an,"129,000 DT",Anti virus Kaspersky Premium - 5 Poste - 1 an - Protection de l'identité - Assistance à distance - Protection avancée - Confidentialité ultime - Protection des paiements en ligne - Assistance premium - Navigation privée sans interruption - Protection des données personnelles et de paiement - VPN illimité ultra-rapide - Nettoyage du disque dur et surveillance de son intégrité - Kaspersky Safe Kids - Optimisation des performances - Élimination des menaces existantes - Protection antipiratage
"Disque dur Interne SSD ADATA 512 Go 2.5""","129,000 DT","512 Go  - Format : 2.5"" - Type de disque: SSD - Technologie Flash NAND TLC - Interface SATA 3.0 6 Gb/s - Vitesse de lecture séquentielle: jusqu'à 520 Mo/s - Vitesse d'écriture séquentielle: jusqu'à 450 Mo/s - Indice d'endurance : 280 TBW - MTTF : jusqu'à 2,0 millions d'heures - Dimensions : 100.45x 69.85x 7mm - Garantie 3 ans"
Disque Dur SSD interne M.2 (2280) PCIe Gen3 x4 Mushkin TEMPEST / 512 Go,"129,000 DT","512 Go - Facteur de forme: M.2 (2280) - Composants de mémoire: 3D NAND - Interface: PCIe Gen3 x4 NVMe 1.4 - Manette: InnoGrit IG5216 - Lecture séquentielle maximale: Jusqu'à 3 300 Mo/s - Écriture séquentielle maximale: Jusqu'à 2 200 Mo/s - Trouver du temps: 0,1ms - Nombre total d'octets écrits (TBW): 250 To - MTBF: 1 500 000 heures - -Prise en charge de l'effacement de sécurité NVMe - Flash NAND 3D haute fiabilité - Résistance maximale aux chocs: 1500G - Poids 7 grammes - Garantie 1 an"
Enregistreur XVR 2 MP Hybride H.264/ H.265+ / 4 Canaux,"139,000 DT",Enregistreur XVR Hybride H.264/ H.265+ - 4x Canaux - Supporte caméras jusqu'à 2 MP - Supporte Disque Dur SATA Jusqu'à 2 To - Technologie de compression video H.264 / H.265+ - 2x USB - 1x Réseau RJ45 - 1x VGA - 1x HDMI - Garantie 1 an
Disque Dur Interne SSD MSI SPATIUM M371 NVMe M.2 / 500 Go,"148,000 DT","Disque Dur Interne SSD MSI SPATIUM M371 NVMe M.2 - Interface PCIe Gen3x4, NVMe 1.3 - 3D NAND - Capacité 500 Go - Vitesse en lecture: 1900Mo/s - Vitesse en écriture: 1000Mo/s - Dimensions 22 x 80 x 2.15 mm - Garantie 5 ans"
Disque Dur Interne SSD MSI SPATIUM M450 PCIe 4.0 NVMe M.2 / 500 Go,"148,000 DT","500 Go - MÉMOIRE FLASH NON-ET 3D - FACTEUR DE FORME: M.2 2280 - INTERFACE: PCIe Gen4 x4, NVMe 1.4 - DIMENSIONS: 80 x 22 x 2.15 mm - LECTURE SÉQUENTIELLE JUSQU'À 3500 (MO/S) - ÉCRITURE SÉQUENTIELLE JUSQU'À 2600 (MO/S) - Garantie 5 ans"
Disque dur externe Hiksemi T300S / 512 Go SSD / Gris,"149,000 DT","Disque dur externe Hiksemi T300S - Capacité de Stockage: 512 Go - Type de disque dur: SSD - Format : 2.5"" - Vitesse de lecture maximale 560 Mo/s - Vitesse d'écriture maximale 500 Mo/s - Interface USB 3.1 Type C - Matériau du Boîtier Alliage d'aluminium - Antichoc et dissipation thermique - Compatible avec Win/Mac/Android 4.0 ou supérieur, Téléphone Android/tablette Android/PC/ordinateur portable - Format compact - Classique et Durable - Compatibilité intelligente - Dimenssion: 78.3 x 61.4 x12.45 mm - Poids: 48 g - Couleur: Gris - Garantie: 1 an"
Disque Dur Externe ADATA ASD600Q USB 3.2 / 512 Go / Noir,"149,000 DT","512Go - Interface: USB 3.2 Compatible USB 2.0 - Type de Disque: SSD - Vitesse de lecture: 520 Mo/s - Vitesse d'enregistrement: 460 Mo/s - Dimensions: 80 x 80 x 15,2 mm - Couleur: Noir - Garantie: 3 ans"
Boîtier Gamer HAVIT CF922 Grand Tour / Noir,"159,000 DT","Boîtier Gamer HAVIT CF922 Grand Tour - Format du boitier: Grand Tour - Type de carte mère: ATX - Limite de hauteur du processeur: 160 MM - Prise en charge du disque dur: 2x 3.5 ou SSD 2.5 - Limite max de longueur de carte graphique: 350 MM - 7 Emplacement d’extension - E/S: 2x USB2.0, 1x USB3.0, 1x mic, 1x écouteur - LED RGB - Compatible Watercooling - Support de refroidissement par eau: le panneau avant prend en charge 240 drains d’eau intégrés (non inclus) - Position du ventilateur: haut 120 x3, avant 120 x2, arrière 12 x2 (non inclus) - Format Alimentation ATX/EPS - Longueur max. carte graphique 35 Cm - Hauteur max. ventilateur CPU 16 Cm - Dimensions: 60.2 x 50 x 21cm - Couleur Noir - Garantie 1 an"
Disque dur externe HIKSEMI T200N / 512 Go SSD / Noir,"169,000 DT","Disque Dur Externe HIKSEMI T200N - Capacité de Stockage: 512 Go - Type de disque dur: SSD - Vitesse de transmission maximale 450 Mo/s - Interface USB 3.1 Type C - Matériau du boîtier: Alliage Aluminium - Compatible avec les PC Windows, MAC OS, ordinateurs portables et ordinateurs de bureau - Transmission à grande vitesse - Solide et Métal - Mince et portatif - Taille 113 x 41 x 10 mm - Poids : 75 g - Couleur: Noir - Garantie: 1 an"
DISQUE DUR EXTERNE TWINMOS ELITE DRIVE / 512GO SSD / TYPE C / Gris,"169,000 DT",Capacité de Stockage : 512 Go - Interface: USB Type C - Vitesse en lecture : 450 Mo/s - Fonctionnalité Plug and Play - Fonctionnement silencieux - Résistant aux chocs - Couleur : Gris - Garantie : 3 ans
Enregistreur AHD TVI XVR Hybride H.264 / 8 Canaux,"175,000 DT",Enregistreur XVR Hybride H.264/ H.265+ - 8x Canaux - Supporte Disque Dur SATA Jusqu'à 2 To - Technologie de compression video H.264 / H.265+ - 2x USB - 1x Réseau RJ45 - 1x VGA - 1x HDMI - Garantie 1 an
Disque dur externe Toshiba Canvio Basics / 1 To / USB 3.2 / Noir,"179,000 DT","Capacité Disque Dur: 1 To - Type Disque Dur: HDD - Format de Disque: 2.5"" - Interface: USB 3.2 - Débit de transfert des données maximum: 5000 Mbit/s - Compatible avec Winndows 7 / 8.1 / 10 et MacOS après reformatage - Couleur Noir - Garantie 1 an"
Boîtier Gamer Midi Tour AQIRYS-CANOPUS ARGB / Blanc,"185,000 DT","Boîtier Gamer Midi Tour AQIRYS-CANOPUS ARGB / Blanc - Matériaux: Verre trempé (panneau latéral gauche), acier SPCC 0,6 mm, ABS - Carte mère compatible: Mini-ITX, Micro-ATX, ATX - Bloc d'alimentation compatible: ATX, longueur maximale de 175 mm - Compatible VGA: Longueur maximale 330 mm - Prise en charge du refroidisseur de processeur: Hauteur maximale 160 mm - Prise en charge du refroidissement liquide - 2x Baies Disque dur SATA 3.5"" - 2x Baies Disque dur SATA 2.5"" - 7x Emplacements d'extension - 1x USB 3.0, 2x USB 2.0, audio HD, bouton LED - Éclairage: ARGB - 3x Ventilateurs installés - Pris en charge jusqu'à 8 ventilateurs: 1x Ventilateurs Arrière 120 mm - 3x Ventilateurs Avant 120 mm - 2x Ventilateurs Haut 120 mm - 2x Ventilateurs Bas 120 mm - filtre anti-poussière magnétique amovible, chambre d'alimentation, prises de gestion des câbles - Dilmensions: 385x 200x 450 mm - Garantie 1 an"
"Disque Dur Interne 3.5"" Seagate Barracuda 1 To","185,000 DT",1 To - Vitesse de rotation 7200 RPM - Taille du cache 256 Mo - Débit de transfert interne: 220 Mo/s - Consommation: 5.1 W - Interface SATA III 6 Gb/s - Dimensions : 146.99 x 101.85 x 20.2 mm - Poids: 490 g - Garantie 3 ans
Disque Dur Team Group MS30 SSD M.2 2280 / 1 To,"185,000 DT",1 To - Interface SATA III TLC - Vitesse de Lecture Jusqu'à 550 Mb/s - Vitesse de lecture jusqu'à 530 Mb/s - Vitesse d'écriture Jusqu'à 480 Mb/s - Résistant aux chocs - Dimensions: 80 x 22 x 3.5 mm - Poids: 10 g - Garantie 3 ans
Disque Dur Interne HIKSEMI E100 / 1 To SSD,"189,000 DT","Capacité de stockage: 1 To - Type de Disque Dur: SSD - Interface : SATA III - Format de Disque : 2.5"" - Vitesse en lecture: 560 Mo / s - Vitesse en écriture: 500 Mo/s - Taux de transfert: 6 Gb/s - Type de mémoire: 3D TLC - Temps moyen entre pannes: 11000000 heures - Garantie 1 an"
Disque Dur externe SSD PD1000 512 Go / Aluminium,"195,000 DT","512 Go - Vitesse En lecture jusqu'à 1000 Mo /s - Interface USB-C , USB A 3.2 Gen 2 - Etanche Antipoussière (IP68) - Antichoc - Résistant à la pression - Dimensions 107(L) x 40(W) x 10.9(H) mm - Garantie 3 ans"
Disque Dur Externe Adata Anti-Choc HD330 USB 3.2 / 1 To / Rouge,"198,000 DT","1 To - Interface USB 3.2 - Format 2.5"" - Anti-Choc - Couleur Noir - Compatible avec: Windows XP/Vista/7/8/8.1/10 Mac OS X 10.6 ou ultérieure Linux Kernel 2.6 ou ultérieure - Poids 198.8g - Dimensions 132.7 x 88.9 x 16.2 mm - Garantie 3 ans"
Disque Dur Externe Adata Anti-Choc HD330 USB 3.2 / 1 To / Noir,"198,000 DT","Disque Dur Externe Adata HD330 - Capacité 1 To - Interface USB 3.2 - Format 2.5"" - Anti-Choc - Couleur Noir - Compatible avec: Windows XP/Vista/7/8/8.1/10 Mac OS X 10.6 ou ultérieure Linux Kernel 2.6 ou ultérieure - Poids 198.8g - Dimensions 132.7 x 88.9 x 16.2 mm - Garantie 3 ans"
